DATE,AUTHOR,TWEET
2016-11-08 00:29:05,ewandonegan,@toffeeman71 @AngelicUpstarta @KickAssCantona @HillaryClinton there may be but as it stands Hilary is the criminal not trump
2016-11-08 00:29:05,ActionTime,RT @ActionTime: Stocks Soar By More Than 200 Points After FBI Clears Hillary #VoteBlue #UniteBlue #Hillary2016 #ImWithHer #HillYes https://'
2016-11-08 00:29:05,utahpolitics,RT @CimCity: LIVE: #Millennials talk to @danielmwoodruff at @hinckleyinst. #utpol https://t.co/GOEL3IpnBV @HillaryClinton' 
2016-11-08 00:29:06,LouannEger,"RT @willyclicks: A Vote For Hillary is a Vote For World War 3! 

Are you 'with her' nuclear holocaust?

https://t.co/0M5FBW1y7j

#HillaryCl'"
2016-11-08 00:29:06,Javi_Delacroix,RT @awpz: Live: HOMOSEXUAL IN MANHATTAN RUNS DOWN 7 FLIGHTS OF STAIRS FOR AMERICA AND @Madonna @HillaryClinton https://t.co/kVhx1pKVWE
2016-11-08 00:29:06,Thinknotfearnot,"RT @CorrectRecord: As a Senator from New York, @HillaryClinton fought to secure funds for 9/11 first responders.' "
2016-11-08 00:29:06,LedZepZoso5,"RT @JordanChariton: BREAKING: @DrJillStein files FEC Complaint Against @realDonaldTrump, @HillaryClinton for Illegal Super PAC Coordina' "
2016-11-08 00:29:06,CoDeese,"#ImWithHer because this country is already great. ""Make America Great Again"" is just a suggestion to return to a more racist society"
2016-11-08 00:29:06,betseybess,"RT @GKMTNtwits: ""Pantsuit up"" !!! It can't be said any better than that! ' '

#ImWithHer #PDMFNB #UniteBlue https://t.co/X4PnSmpryZ"
2016-11-08 00:29:06,50DECASSIDY,"RT @simonhelberg: Who are the people that support an ignorant, white racist man? No surprise. Go out there tomorrow &amp; VOTE! #ImWithHer http'"
2016-11-08 00:29:06,KingofLast,"@RiggedDebate @DineshDSouza @HillaryClinton but Hillary says that she's for women and children, so obviously it's Trump in a Jay Z costume!"
2016-11-08 00:29:06,ButtonGirl22,"RT @brosemaiman: PLEASE
You
Yes, you!
Go vote tomorrow. 

Especially if you're a young person. 

....and especially if you're voting for @H'"
2016-11-08 00:29:06,kelleyh1961,"RT @libertytarian: More MSM collusion w #Clinton
WaPo, CNN, NYT, HuffPo ' the sources you trust?

@RealAlexJones #RiggedSystem' "
2016-11-08 00:29:06,TrendsSanJose,"RT @Trendsmap: Sentiment by State for Clinton and Trump (last 2 weeks), using our new Analytics tool #Election2016' "
2016-11-08 00:29:06,stpatpforever,"RT @myGianLuca: RT
@HillaryClinton Thinks Her
Last Ditch HAIL MARY
FACADE Can Save Her!!

           WRONG!

  #MAGA's NOT Stupid!' "
2016-11-08 00:29:06,miltondrepaul,"If you're a man, your groping days are over: Opinion https://t.co/7X6JrzLgDo @hillaryclinton"
2016-11-08 00:29:06,InertiaFulcrum,RT @wikileaks: RELEASE: The Podesta Emails Part 34 #PodestaEmails #PodestaEmails34 #HillaryClinton #imWithHer' 
